,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof
2019-01-21,0.00023493086320303114,0.0011417697431019835,0.0013350589196918783,-1.3101008777605117e-05,8.13057706781084e-05,-3.7115391752884364e-05,-0.00044540512215895944,-0.0006278496150683432,0.00023564379566684
2019-01-22,0.00023487568365609945,0.0011404675917123797,0.0013332789137858736,-1.3101180416419389e-05,8.129916058741138e-05,-3.71167693563601e-05,-0.0004456035962832061,-0.0006282440578582182,0.00023520184938763676
2019-01-23,0.00023482053002332748,0.0011391684070629626,0.0013315036480481268,-1.3101352059452509e-05,0.00030484706838707076,-3.711814706208738e-05,-0.00044580224736767704,-0.0006286389965725059,0.0002627050734553771
2019-01-24,0.00023476540228717369,0.0011378721790251678,0.0013297331035699855,-1.3101523707259588e-05,-0.00020316944331844056,-3.71195248700662e-05,-0.0004460010756496269,-0.0006290344321465691,0.0001987635971655077
2019-01-25,0.00023471030042920837,0.0011365788975186142,0.0013279672615416072,-1.3101695359285515e-05,0.0006493551142039422,-3.7120902780518605e-05,-0.0004462000813658662,-0.0006294303655192124,0.0003048906030963305
2019-01-28,0.0002346552244307798,-0.0005676442762534428,0.00451992692333647,0.0003406485424173322,-0.0009134273825214256,-3.7122280792889484e-05,-0.0034136414363553635,0.0010497113293843618,8.848562673120227e-05
2019-01-29,0.00023460017427434643,-0.0005679666792880456,0.004499589109377311,0.00034053254050370185,-0.00010158472165966437,-3.712365890773395e-05,-0.003425334299453131,0.0010486105909668364,0.00018658149285639137
2019-01-30,0.00023454514994147857,-0.0005682894487594181,0.004479433499188001,0.00034041661756822883,0.0003047851264821322,-3.7125037124940974e-05,-0.0034371075418071495,0.0010475121586233094,0.0002340036292152792
2019-01-31,0.00023449015141352447,-0.0005686125852918389,0.0044594576551793,0.00034030077352964483,0.0005078204346942172,-3.712641544451056e-05,-0.003448961995091815,0.0010464160251137944,0.0002560189921496869
2019-02-01,0.0002344351786729426,-0.0005689360895125839,0.004439659183048894,0.0003401850083084579,0.0012181504415833544,-3.7127793866442715e-05,-0.0034608985024958683,0.0010453221832300574,0.00034145591190887226
2019-02-11,0.00023438023170174738,0.0020872865275141095,-0.003004036260172871,0.00027467137531878016,-0.002737503802092589,0.001537147736977662,0.003379416282642156,-0.002729917207428989,3.551440258633124e-05
2019-02-12,0.00023432531048106497,0.0020829388373413416,-0.0030130876848332155,0.00027459595167100836,-0.002541683611224421,0.0015347885402461348,0.003368034292712707,-0.002737390055645328,5.617760098952093e-05
2019-02-13,0.00023427041499313184,0.00207860922146641,-0.003022193819813057,0.0002745205694341113,-0.0019366017735179542,0.001532436574153806,0.0033567287152884706,-0.0027449039283624632,0.00012800037779281685
2019-02-14,0.00023421554522040644,0.002074297567414618,-0.0030313551626510726,0.00027444522857367204,-2.5531045752091863e-05,0.001530091805509004,0.0033454987834549144,-0.002752459164335308,0.00036307345622115514
2019-02-15,0.000234160701144015,0.002070003763643191,-0.00304057221693832,0.0002743699290559398,-2.553169760299845e-05,0.0015277542013247825,0.0033343437405275456,-0.0027600561060585616,0.00035926412060148223
