,格量,品赋,象限,宽德,中信资管,平方和,致远三号,黑翼CTA三号,fof,沪深300,组合基金
2019-04-29,1.2304441351081303,1.106178606740425,1.1884469683078334,1.1708507083649327,1.1055743999592766,1.221592020941618,1.1738207813294028,1.2171838408231355,1.198666345457896,0.9845963038344845,1.0057091316675175
2019-04-30,1.2324306269635135,1.1084137430837417,1.1897116957257947,1.1726993576582712,1.1054661505836456,1.2223583044665216,1.1711709075880927,1.2158137371870914,1.1993565572102107,0.9878985885129605,1.0055568628623202
2019-05-06,1.2341752740689853,1.1101978644039918,1.1893394048070336,1.1745445957535092,1.1030302759499955,1.2226645831801508,1.1733089420967198,1.2190783540871124,1.2003610207628006,0.9294836299495305,1.0030186629536952
2019-05-07,1.2359168826820315,1.1119788083042588,1.188966975236125,1.176386435216405,1.1039333627238432,1.2229707681158515,1.1754424151663012,1.2223323479437964,1.2017799508952813,0.9392675425375315,1.0023570516757676
2019-05-08,1.237655463367981,1.1137565860820366,1.188594406909755,1.1782248885434128,1.1048356346678316,1.2232768593310337,1.1775713462188149,1.2255757876675448,1.2031958892509813,0.9249663548482175,1.0016440755095424
2019-05-09,1.239391026637151,1.115531208974672,1.188221699724492,1.1800599681621895,1.105737093251032,1.223582856883053,1.1796957545524585,1.2288087415004068,1.2046088495814267,0.9064903523832962,1.0005738482136497
2019-05-10,1.2411235829452307,1.1173026881597918,1.1878488535767913,1.181891686432102,1.1057776803335178,1.2238887608292135,1.1818156593426994,1.2320312770246937,1.205911338083063,0.9428128237003505,0.995676138913104
2019-05-13,1.2422242118760485,1.118010026798165,1.192484526948312,1.1823163399266465,1.1066550987906107,1.226029433612088,1.1811352610003971,1.2370987744286397,1.207568670373144,0.926267902846298,0.995265987669833
2019-05-14,1.2433236307546411,1.1187168654622397,1.1970988100107114,1.182740813167146,1.1076765689739159,1.2281655337036357,1.1804543994009915,1.2421407217774847,1.2092383038274357,0.9198406105680437,0.994855668133494
2019-05-15,1.2444218422387956,1.1194232048583195,1.201691899259187,1.1831651063065616,1.1088011614779216,1.2302970805976674,1.1797730739132244,1.2471573754227827,1.210915170939604,0.9423197952380846,0.9958818880524228
2019-05-16,1.245518848977551,1.120129045691212,1.206263988493757,1.18358921949766,1.1093368141745803,1.2324240936636048,1.179091283904547,1.252148987877265,1.212512811939249,0.9468461146991118,0.9961894384137945
2019-05-17,1.2466146536112395,1.1208343886642327,1.2108152688683225,1.1840131528930136,1.1095236145158354,1.2345465921475345,1.1784090287411157,1.2571158078911069,1.2140612850924184,0.9214184926091323,0.9928586672121547
2019-05-20,1.2467710257769937,1.1210106001179772,1.215228756695427,1.1848959732096516,1.1091751140306259,1.2351517358691697,1.177403566973489,1.2629763169721953,1.2151955876865737,0.9129306775705986,0.991676147931949
