净值日期,桃花岛量化对冲二号,泓倍期权套利1号,格量稳健一号,玉数,天演6号,品赋火炬,明汯,歆享富诚三期,fof,沪深300,组合基金
2017-09-28,,,,,1.0288157285744424,,1.0515387873044468,1.0134689436627056,1.0334259744019623,1.1034701415291412,1.0245252844097317
2017-09-29,,,,,1.0296312625550248,,1.0520703487662408,1.0148482540075334,1.0343347763310304,1.1071088747495244,1.0249886525814869
2017-10-09,,,,,1.0307174600878046,,1.052886009451396,1.0144540099704744,1.0348373143913223,1.118883096133736,1.0255032411679121
2017-10-10,,,,,1.031802479075637,,1.0537010053764162,1.0140596104437538,1.0353391861866998,1.1208497478898405,1.0258633234724388
2017-10-11,,,,,1.0328863220732372,,1.0545153376239733,1.013665055304673,1.0358403928887252,1.1241372239640353,1.0262232761643708
2017-10-12,,,,,1.0339689916270225,,1.0553290072740953,1.0132703444303885,1.0363409356652662,1.1267592866021983,1.0263775178096148
2017-10-13,,,,,1.0350504902751494,,1.0561420154041765,1.0128754776979108,1.0368408156805096,1.1288123342941137,1.0298614813304676
2017-10-16,,,,,1.0366701108211926,,1.0550820918700887,1.0138616709917965,1.0373561124491233,1.1268830902766864,1.0296565002912135
2017-10-17,,,,,1.0382871124381945,,1.0540210437060809,1.0148468926666732,1.0378698374917468,1.1267859798237685,1.0296052524051889
2017-10-18,,,,,1.0399015035821058,,1.0529588685230453,1.0158311446351773,1.0383819934682068,1.1346685200858269,1.0299126452019511
2017-10-19,,,,,1.0415132926679913,,1.051895563924253,1.016814428804302,1.0388925830202795,1.1313845773195312,1.0299126452019511
2017-10-20,,,,,1.04312248807029,,1.0508311275053213,1.017796747075422,1.039401608771775,1.1302640863407567,1.0306293809824252
2017-10-23,,,,,1.0446145114835805,,1.0540331586161797,1.0199531869891643,1.0416851069177389,1.1312689708426393,1.0307317613253992
2017-10-24,,,,,1.0461043120795008,,1.05722496944945,1.0221049866761753,1.0439629106231394,1.1384922875067804,1.0309876466887564
2017-10-25,,,,,1.0475918964713076,,1.060406625039939,1.024252166063253,1.0462350504129305,1.1429052170130602,1.0312946148663888
2017-10-26,,,,,1.0490772712427885,,1.0635781898036667,1.0263947449491122,1.0485015565532865,1.1470694005276012,1.0315503562606907
2017-10-27,,,,,1.0505604429484359,,1.0667397275456927,1.0285327430054776,1.0507624590546327,1.1541281304534832,1.033795827044054
2017-10-30,,,,,1.0513584365644868,,1.0656347758639189,1.0287270686953336,1.0507249149293438,1.1510730542885639,1.0335916516573969
2017-10-31,,,,,1.0521557938944788,,1.064528601913378,1.0289213566300528,1.050686738700734,1.1503243121753142,1.033234217016874
2017-11-01,,,,,1.0529525159522983,,1.0634212029869916,1.0291156068243033,1.0506479298092952,1.1477971767458763,1.0333363307715968
2017-11-02,,,,,1.0537486037494095,,1.0623125763686787,1.0293098192927437,1.0506084876917081,1.1479247682928113,1.033183136674676
